ExperimentID,Tray Location,Pot Location,Ecotype ID,Ecotype Name,Plant ID,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14C4,6042,Lom1-1,35760,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14C5,5056,UKSE06-192,35761,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14D1,7328,Sf-2,35762,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14D2,8281,cvi,35763,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14D3,8324,Ler-1,35764,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14D4,8279,Col-0,35765,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15A1,8381,Sorbo,35766,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15A2,7337,Si-0,35767,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15A3,8256,Ba1-2,35768,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15A4,8247,San-2,35769,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15A5,7128,Est-0,35770,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15B1,7139,Fi-1,35771,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15B2,7178,Jm-1,35772,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15B3,7031,Bsch-0,35773,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15B4,7079,Co-3,35774,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15B5,7280,Old-1,35775,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15C1,96,LAC-5,35776,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15C2,8289,Ei-2,35777,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15C3,8374,Rsch-4,35778,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15C4,8278,Co,35779,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15C5,7229,Li-6,35780,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15D2,8281,cvi,35781,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15D3,8324,Ler-1,35782,,,,,,,,,,,,,,,,,,,
BVZ0072,15,15D4,8279,Col-0,35783,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16A1,8385,Sq-8,35784,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16A2,362,TOU-C-3,35785,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16A3,8269,Br-0,35786,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16A4,8333,Lp2-6,35787,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16A5,7301,Pla-1,35788,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16B1,8294,Fei-0,35789,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16B2,7386,Vi-0,35790,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16B3,8234,Gul1-2,35791,,,,,,,,,,,,,,,,,,,
